index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,right_hand_q_0,right_hand_q_1,right_hand_q_2,right_hand_q_3,right_hand_q_4,right_hand_q_5,right_hand_q_6
0,0.000,1786751905516.031,28863438.431,0.000000000,-0.027739735,-0.006019879,0.000081405,0.000097664,0.000024753,0.000131563,0.000025221
1,19.990,1786751905536.020,28863458.420,0.000000000,-0.027657844,-0.006007353,-0.001834902,0.002140353,0.001995256,0.002244293,0.002006619
2,39.988,1786751905556.018,28863478.418,0.000000000,-0.027579833,-0.005954358,-0.012113680,0.012597619,0.012437569,0.013126415,0.012514267
3,59.990,1786751905576.020,28863498.420,0.000000000,-0.027503882,-0.005931182,-0.029101335,0.029294062,0.029495722,0.030404216,0.029662661
4,79.988,1786751905596.018,28863518.419,0.000000000,-0.027428672,-0.005951680,-0.051107228,0.050607644,0.051368933,0.051997758,0.051581610
5,99.986,1786751905616.017,28863538.417,0.000000000,-0.027352493,-0.005989426,-0.076802559,0.075399920,0.076759376,0.076622412,0.076949961
6,119.985,1786751905636.016,28863558.416,0.000000000,-0.027275871,-0.006034694,-0.105192780,0.102516979,0.104667716,0.102979317,0.104746640
7,139.988,1786751905656.018,28863578.418,0.000000000,-0.027199008,-0.006091390,-0.135556772,0.131081432,0.134364501,0.130373299,0.134270951
8,159.988,1786751905676.019,28863598.419,0.000000000,-0.027141660,-0.006139046,-0.159301400,0.152875572,0.157460481,0.151383713,0.157252714
9,179.985,1786751905696.016,28863618.416,0.000000000,-0.027064703,-0.006211547,-0.191953897,0.181876391,0.189008266,0.179814070,0.188720375
10,199.987,1786751905716.018,28863638.418,0.000000000,-0.026985483,-0.006287138,-0.225478366,0.210608497,0.221163467,0.208451718,0.220866740
11,219.989,1786751905736.020,28863658.420,0.000000000,-0.026903758,-0.006347657,-0.259616524,0.239142850,0.253759742,0.237098798,0.253484607
12,239.987,1786751905756.018,28863678.418,0.000000000,-0.026820987,-0.006394364,-0.294158250,0.267886370,0.286731392,0.266033441,0.286489218
13,259.988,1786751905776.018,28863698.418,0.000000000,-0.026736807,-0.006439028,-0.328977674,0.297441274,0.320068032,0.295904845,0.319872022
14,279.986,1786751905796.017,28863718.417,0.000000000,-0.026651138,-0.006479633,-0.363958001,0.328344077,0.353774190,0.327408046,0.353654593
15,299.989,1786751905816.019,28863738.420,0.000000000,-0.026565205,-0.006509312,-0.398996562,0.360921502,0.387841254,0.360979408,0.387848973
16,319.988,1786751905836.019,28863758.419,0.000000000,-0.026480174,-0.006535041,-0.434028924,0.395332247,0.422249109,0.396459103,0.422402829
17,339.985,1786751905856.016,28863778.416,0.000000000,-0.026397165,-0.006552390,-0.469071537,0.430702984,0.456854463,0.432479322,0.457113862
18,359.985,1786751905876.015,28863798.415,0.000000000,-0.026317868,-0.006546300,-0.504140079,0.465717942,0.491493851,0.467555255,0.491806597
19,379.989,1786751905896.019,28863818.419,0.000000000,-0.026261207,-0.006530822,-0.530470371,0.491112828,0.517422140,0.492882639,0.517782927
20,399.987,1786751905916.018,28863838.418,0.000000000,-0.026186533,-0.006526842,-0.565657496,0.523625910,0.551877379,0.525546730,0.552353740
