index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,right_hand_dq_0,right_hand_dq_1,right_hand_dq_2,right_hand_dq_3,right_hand_dq_4,right_hand_dq_5,right_hand_dq_6
0,0.000,1786880349981.470,15137799.405,0.000000000,-0.000102536,0.006194965,0.005483770,-0.005763256,-0.006194312,-0.005806999,-0.006199268
1,19.991,1786880350001.461,15137819.396,0.000000000,-0.000310492,0.004402816,-0.248137772,0.260610551,0.253475964,0.242650613,0.250795901
2,39.988,1786880350021.458,15137839.393,0.000000000,-0.000597811,0.003393482,-0.653336525,0.664469004,0.660703897,0.633158147,0.656024933
3,59.986,1786880350041.456,15137859.391,0.000000000,-0.000826506,0.002526040,-0.950458527,0.974784493,0.959248960,0.943555474,0.954540849
4,79.989,1786880350061.459,15137879.394,0.000000000,-0.000853533,0.002098291,-1.166516542,1.238344193,1.182334423,1.215200901,1.178650498
5,99.986,1786880350081.456,15137899.391,0.000000000,-0.000614337,0.000354785,-1.326769948,1.425394058,1.343868136,1.414653540,1.341695070
6,119.987,1786880350101.457,15137919.392,0.000000000,-0.000216472,-0.003360358,-1.452945113,1.482534528,1.447788119,1.473520517,1.445499420
7,139.986,1786880350121.456,15137939.391,0.000000000,0.000032633,-0.007084523,-1.556139350,1.441457629,1.508202314,1.422479510,1.504567742
8,159.989,1786880350141.459,15137959.394,0.000000000,-0.000101534,-0.030641504,-1.642692447,1.337498784,1.538075447,1.329326510,1.537123799
9,179.988,1786880350161.458,15137979.393,0.000000000,-0.000035647,-0.028711013,-1.691465974,1.303933144,1.558693290,1.304324389,1.559812069
10,199.989,1786880350181.460,15137999.395,0.000000000,-0.000102669,-0.010200378,-1.733611107,1.350493431,1.592451572,1.374087453,1.597716928
11,219.987,1786880350201.458,15138019.392,0.000000000,-0.000259069,-0.006908892,-1.758172631,1.442139864,1.626019001,1.496840239,1.636336088
12,239.987,1786880350221.458,15138039.393,0.000000000,-0.000347350,-0.004307293,-1.769385815,1.552294970,1.657333612,1.596753716,1.666567206
13,259.988,1786880350241.458,15138059.393,0.000000000,-0.000312931,-0.000596745,-1.767529607,1.670212507,1.687250853,1.684978962,1.692014456
14,279.985,1786880350261.455,15138079.390,0.000000000,-0.000277040,0.001747633,-1.758291483,1.781841516,1.714072585,1.780337334,1.715906620
15,299.988,1786880350281.458,15138099.393,0.000000000,-0.000257398,0.002378473,-1.747992873,1.878395796,1.735761642,1.880239248,1.737410069
16,319.986,1786880350301.457,15138119.392,0.000000000,-0.000241526,0.003046524,-1.737703204,1.964924932,1.753516436,1.974883556,1.755830050
